A1_mul_over_add	ACCEPT	
A1_range_bare_assign	REJECT	AL0104: Syntax error, 'end' expected
A1c_paren_mulfirst	ACCEPT	
A1d_paren_addfirst	REJECT	AL0370: Division by constant zero.
A2_mul_over_sub	REJECT	AL0370: Division by constant zero.
A2_range_call_arg	REJECT	AL0104: Syntax error, ',' expected
A2c_paren_mulfirst	REJECT	AL0370: Division by constant zero.
A2d_paren_subfirst	ACCEPT	
A3_div_over_sub_acc	ACCEPT	
A3_range_in_nobracket	REJECT	AL0104: Syntax error, '[' expected
A4_div_over_sub_rej	ACCEPT	
A4_range_paren	REJECT	AL0104: Syntax error, ')' expected
A5_mod_over_sub	ACCEPT	
A5_range_if_cond	REJECT	AL0104: Syntax error, 'then' expected
A6_mod_over_add	ACCEPT	
A6_range_subscript	REJECT	AL0104: Syntax error, ',' expected
A7_range_exit	REJECT	AL0104: Syntax error, ')' expected
A7_slash_over_sub_acc	ACCEPT	
A8_range_ctl_list	ACCEPT	
A8_slash_over_sub_rej	REJECT	AL0370: Division by constant zero.
A9_range_ctl_case	ACCEPT	
AS1_sanity	ACCEPT	
AS2_as_vs_and	REJECT	AL0175: Operator 'and' cannot be applied to operands of type 'Integer' and 'Interface IProbeB'
AS3_as_vs_is	ACCEPT	
AS4_as_vs_eq	ACCEPT	
AS5_as_ctl_paren	ACCEPT	
AS6_is_vs_or	REJECT	AL0175: Operator 'or' cannot be applied to operands of type 'Integer' and 'Boolean'
B1_neg_subscript	REJECT	AL0173: Operator '-' cannot be applied to an operand of type 'Boolean'
B1_sub_left_assoc	REJECT	AL0370: Division by constant zero.
B1c_paren_right	ACCEPT	
B1d_paren_left	REJECT	AL0370: Division by constant zero.
B2_div_left_assoc	ACCEPT	
B2_neg_call	REJECT	AL0173: Operator '-' cannot be applied to an operand of type 'Boolean'
B2c_paren_right	ACCEPT	
B3_neg_member_ctl	REJECT	AL0173: Operator '-' cannot be applied to an operand of type 'Boolean'
B3_slash_left_assoc	REJECT	AL0371: The operation overflows at compile time.
B3c_paren_right	ACCEPT	
B4_add_left_assoc	REJECT	AL0371: The operation overflows at compile time.
B4_range_vs_eq	REJECT	AL0175: Operator '..' cannot be applied to operands of type 'Integer' and 'Boolean'
B4c_paren_right	ACCEPT	
B5_range_vs_eq_left	REJECT	AL0175: Operator '..' cannot be applied to operands of type 'Boolean' and 'Integer'
B5_star_div_left	ACCEPT	
B6_slash_div_left	ACCEPT	
B7_and_left_assoc	REJECT	AL0175: Operator 'and' cannot be applied to operands of type 'Boolean' and 'Integer'
B8_or_left_assoc	REJECT	AL0175: Operator 'or' cannot be applied to operands of type 'Boolean' and 'Integer'
B9_cmp_left_assoc	ACCEPT	
C1_add_over_eq	ACCEPT	
C1_not_vs_subscript	REJECT	AL0173: Operator 'not' cannot be applied to an operand of type 'Integer'
C2_mul_over_eq	ACCEPT	
C2_not_vs_subscript_ok	ACCEPT	
C3_eq_over_add_rhs	ACCEPT	
C3_ternary_vs_in	ACCEPT	
C4_concat_over_eq	ACCEPT	
C4_ternary_vs_is_ctl	ACCEPT	
C5_lt_over_add	ACCEPT	
D10_canon_or	REJECT	AL0175: Operator 'or' cannot be applied to operands of type 'Integer' and 'Integer'
D11_canon_xor	REJECT	AL0175: Operator 'xor' cannot be applied to operands of type 'Integer' and 'Integer'
